GV70 2.2디젤 2WD 18인치 (빌트인캠)(22),현대,경유,13.5,12.2,15.5,NULL,1688933,3등급,2151,2022,
GV70 2.2디젤 2WD 18인치 (빌트인캠)(24MY),현대,경유,13.5,12.2,15.5,NULL,1688933,3등급,2151,2023,
GV70 2.2디젤 2WD 18인치(22),현대,경유,13.6,12.4,15.5,NULL,1676515,3등급,2151,2022,
GV70 2.2디젤 2WD 18인치(24MY),현대,경유,13.6,12.4,15.5,NULL,1676515,3등급,2151,2023,
GV70 2.2디젤 2WD 19인치,현대,경유,13.2,12,14.9,NULL,1727318,3등급,2151,2020,
GV70 2.2디젤 2WD 19인치 (스포츠패키지),현대,경유,13.2,12,14.9,NULL,1727318,3등급,2151,2020,
GV70 2.2디젤 2WD 19인치 (스포츠패키지)(22),현대,경유,13.2,12,15,NULL,1727318,3등급,2151,2022,
GV70 2.2디젤 2WD 19인치 (스포츠패키지)(24MY),현대,경유,13.2,12,15,NULL,1727318,3등급,2151,2023,
GV70 2.2디젤 2WD 19인치(22),현대,경유,13.2,12,15,NULL,1727318,3등급,2151,2022,
GV70 2.2디젤 2WD 19인치(24MY),현대,경유,13.2,12,15,NULL,1727318,3등급,2151,2023,
GV70 2.2디젤 2WD 21인치,현대,경유,12.6,11.2,14.7,NULL,1809571,3등급,2151,2020,
GV70 2.2디젤 2WD 21인치 (스포츠패키지),현대,경유,12.6,11.2,14.7,NULL,1809571,3등급,2151,2020,
GV70 2.2디젤 2WD 21인치 (스포츠패키지)(22),현대,경유,12.6,11.6,14.2,NULL,1809571,3등급,2151,2022,
GV70 2.2디젤 2WD 21인치 (스포츠패키지)(24MY),현대,경유,12.6,11.6,14.2,NULL,1809571,3등급,2151,2023,
GV70 2.2디젤 2WD 21인치(22),현대,경유,12.6,11.6,14.2,NULL,1809571,3등급,2151,2022,
GV70 2.2디젤 2WD 21인치(24MY),현대,경유,12.6,11.6,14.2,NULL,1809571,3등급,2151,2023,
GV70 2.2디젤 AWD 18인치,현대,경유,12.9,11.5,15,NULL,1767488,3등급,2151,2020,
GV70 2.2디젤 AWD 18인치(22),현대,경유,12.9,11.6,15.1,NULL,1767488,3등급,2151,2022,
GV80 2.5T-GDI 2WD 5인 19인치타이어 (빌트인캠),현대,휘발유,9.5,8.5,10.9,NULL,2519968,4등급,2497,2020,
GV80 2.5T-GDI 2WD 5인 20인치타이어,현대,휘발유,9.1,8.2,10.4,NULL,2630736,5등급,2497,2020,
GV80 2.5T-GDI 2WD 5인 22인치타이어,현대,휘발유,9.1,8.2,10.4,NULL,2630736,5등급,2497,2020,
GV80 2.5T-GDI 2WD 5인승 19인치 타이어,현대,휘발유,9.7,8.7,11.1,NULL,2468010,4등급,2497,2020,
GV80 2.5T-GDI 2WD 7인 19인치타이어,현대,휘발유,9.3,8.4,10.7,NULL,2574161,5등급,2497,2020,
GV80 2.5T-GDI 2WD 7인 20인치타이어,현대,휘발유,9.1,8.2,10.4,NULL,2630736,5등급,2497,2020,
GV80 2.5T-GDI 2WD 7인 22인치타이어,현대,휘발유,9.1,8.2,10.4,NULL,2630736,5등급,2497,2020,
GV80 2.5T-GDI AWD 5인 19인치타이어,현대,휘발유,9,8,10.4,NULL,2659967,5등급,2497,2020,
GV80 2.5T-GDI AWD 5인 19인치타이어 (빌트인캠),현대,휘발유,8.8,7.9,10,NULL,2720420,5등급,2497,2020,
GV80 2.5T-GDI AWD 5인 20인치타이어,현대,휘발유,8.6,7.8,9.8,NULL,2783686,5등급,2497,2020,
GV80 2.5T-GDI AWD 5인 22인치타이어,현대,휘발유,8.6,7.8,9.8,NULL,2783686,5등급,2497,2020,
GV80 2.5T-GDI AWD 7인 19인치타이어,현대,휘발유,9,8,10.4,NULL,2659967,5등급,2497,2020,
GV80 2.5T-GDI AWD 7인 19인치타이어 (빌트인캠),현대,휘발유,8.8,7.9,10,NULL,2720420,5등급,2497,2020,
GV80 2.5T-GDI AWD 7인 20인치타이어,현대,휘발유,8.5,7.6,9.8,NULL,2816435,5등급,2497,2020,
GV80 2.5T-GDI AWD 7인 22인치타이어,현대,휘발유,8.5,7.6,9.8,NULL,2816435,5등급,2497,2020,
GV80 3.0디젤 2WD 5인 (20인치/22인치)(22),현대,경유,11.5,10.2,13.6,NULL,1982661,4등급,2996,2022,
GV80 3.0디젤 2WD 5인 19인치 타이어,현대,경유,11.8,10.5,13.7,NULL,1932254,3등급,2996,2020,
